"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151135","4.1.15","2209","","","","0"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151135","4.1.15","2081","","","","0"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151135","4.1.15","2029","","","","0"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151135","4.1.15","2198","","","","0"
"2011","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","","..","","","2"
"2012","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","","..","","","2"
"2013","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","","..","","","2"
"2014","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","","..","","","2"
"2015","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","","..","","","2"
"2016","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","","..","","","2"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","23.76","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","20.10","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","17.04","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","20.01","","","","2"
"1998","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","5000","","","","0"
"1999","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","3814","","","","0"
"2000","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","3658","","","","0"
"2001","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","3142","","","","0"
"2002","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","3342","","","","0"
"2003","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","3815","","","","0"
"2004","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","3324","","","","0"
"2005","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","3628","","","","0"
"2006","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","4291","","","","0"
"2007","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","3757","","","","0"
"2008","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","3830","","","","0"
"2009","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","3983","","","","0"
"2010","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","4064","","","","0"
"2011","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","3516","","","","0"
