"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","312667","","","","0"
"2010","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","311263","","","","0"
"2011","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","300694","","","","0"
"2012","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","294725","","","","0"
"2013","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","275834","","","","0"
"2014","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","264292","","","","0"
"2015","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","265702","","","","0"
"2016","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","267126","","","","0"
"2017","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","276846","","","","0"
"2018","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","282302","","","","0"
"2019","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","280651","","","","0"
"2020","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","244844","","","","0"
"1998","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","245524","","","","0"
"1999","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","242344","","","","0"
"2000","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","255924","","","","0"
"2001","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","240366","","","","0"
"2002","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","243060","","","","0"
"2003","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","217976","","","","0"
"2004","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","216916","","","","0"
"2005","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","222281","","","","0"
"2006","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","231586","","","","0"
"2007","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","229770","","","","0"
"2008","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","231266","","","","0"
"2009","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","223952","","","","0"
"2010","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","220220","","","","0"
"2011","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","213152","","","","0"
"2012","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","208916","","","","0"
"2013","Ontario [35]","2016A000235","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327282","16.1.5","195657","","","","0"
