"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","12537","","","","0"
"2010","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","12708","","","","0"
"2011","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","13251","","","","0"
"2012","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","13740","","","","0"
"2013","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","11754","","","","0"
"2014","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","10341","","","","0"
"2015","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","9847","","","","0"
"2016","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","9458","","","","0"
"2017","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","8574","","","","0"
"2018","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","8233","","","","0"
"2019","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","7060","","","","0"
"2020","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44404601","5.1.6","6803","","","","0"
"1998","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","19490","","","","0"
"1999","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","19081","","","","0"
"2000","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","16934","","","","0"
"2001","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","17773","","","","0"
"2002","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","17612","","","","0"
"2003","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","18590","","","","0"
"2004","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","18199","","","","0"
"2005","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","16534","","","","0"
"2006","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","18296","","","","0"
"2007","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","20524","","","","0"
