"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","13322","","","","0"
"2003","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","12894","","","","0"
"2004","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","12877","","","","0"
"2005","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","12076","","","","0"
"2006","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","12290","","","","0"
"2007","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","12951","","","","0"
"2008","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","13799","","","","0"
"2009","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","14036","","","","0"
"2010","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","14055","","","","0"
"2011","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","13242","","","","0"
"2012","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","12858","","","","0"
"2013","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","11859","","","","0"
"2014","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","11127","","","","0"
"2015","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","11095","","","","0"
"2016","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","11872","","","","0"
"2017","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","12067","","","","0"
"2018","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","12445","","","","0"
"2019","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","12545","","","","0"
"2020","New Brunswick [13]","2016A000213","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44415413","7.1.7","11276","","","","0"
"1998","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","2387.04","","","","2"
"1999","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","2571.84","","","","2"
"2000","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","2305.57","","","","2"
"2001","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","2331.89","","","","2"
"2002","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","2051.59","","","","2"
"2003","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","1978.45","","","","2"
"2004","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","1969.81","","","","2"
"2005","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","1844.81","","","","2"
"2006","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","1877.63","","","","2"
"2007","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","1975.63","","","","2"
"2008","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","2098.18","","","","2"
"2009","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","2123.57","","","","2"
"2010","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44337931","7.1.8","2115.13","","","","2"
